Time'QW   0'DW  10'DW  11'DW  12'DW  13'DW  14'DW  15'DW  16'DW  17'DW  90'DW  91'DW  92'DW 163'DW 165'DW 166'
 8: 5:13,533'F53A'+01569'-00064'+00790'+07817'+07642'+00143'+00251'+01519'+01872'+00000'+02119'+00276'+00276'+00276'
 8: 5:13,803'F53A'+01571'-00064'+00791'+07817'+07642'+00143'+00251'+01519'+01872'+00000'+02119'+00276'+00276'+00276'
 8: 5:14, 89'F53A'+01572'-00064'+00791'+07817'+07644'+00143'+00251'+01519'+01872'+00000'+02119'+00276'+00276'+00276'
 8: 5:14,344'F53A'+01574'-00064'+00791'+07817'+07642'+00143'+00251'+01519'+01872'+00000'+02119'+00276'+00276'+00276'
 8: 5:14,615'F53A'+01575'-00064'+00791'+07817'+07642'+00142'+00251'+01519'+01872'+00000'+02119'+00276'+00276'+00276'
 8: 5:14,870'F53A'+01576'-00064'+00791'+07816'+07642'+00142'+00251'+01519'+01872'+00000'+02119'+00276'+00276'+00276'
 8: 5:15,110'F53A'+01578'-00064'+00791'+07817'+07642'+00142'+00251'+01519'+01869'+30069'+02119'+00276'+00276'+00276'
 8: 5:15,381'F53A'+01579'-00064'+00791'+07817'+07644'+00142'+00251'+01519'+01868'+12336'+02119'+00275'+00275'+00275'
 8: 5:15,621'F53A'+01580'-00064'+00792'+07817'+07644'+00142'+00251'+01519'+01866'-05397'+02119'+00275'+00275'+00275'
 8: 5:15,906'F53A'+01582'-00064'+00791'+07819'+07644'+00142'+00251'+01519'+01864'+24672'+02119'+00274'+00274'+00274'
 8: 5:16,192'F53A'+01583'-00064'+00791'+07821'+07642'+00142'+00251'+01519'+01863'+06939'+02119'+00273'+00273'+00273'
 8: 5:16,462'F53A'+01585'-00064'+00791'+07819'+07642'+00142'+00251'+01519'+01860'-28527'+02119'+00271'+00271'+00271'
 8: 5:16,703'F53A'+01586'-00064'+00791'+07819'+07642'+00141'+00251'+01519'+01859'+19275'+02118'+00269'+00269'+00269'
 8: 5:16,988'F53A'+01587'-00064'+00791'+07819'+07642'+00141'+00251'+01519'+01858'+01542'+02118'+00267'+00267'+00267'
 8: 5:17,243'F53A'+01589'-00064'+00791'+07819'+07644'+00141'+00251'+01519'+01662'-02312'+02118'+00266'+00266'+00266'
 8: 5:17,529'F53A'+01590'-00064'+00791'+07819'+07642'+00141'+00251'+01519'+01660'+27757'+02118'+00264'+00264'+00264'
 8: 5:17,829'F53A'+01592'-00064'+00791'+07819'+07642'+00141'+00251'+01519'+01655'+22360'+02118'+00256'+00256'+00256'
 8: 5:18, 70'F53A'+01593'-00064'+00791'+07821'+07644'+00141'+00251'+01519'+01652'-13106'+02118'+00250'+00250'+00250'
 8: 5:18,340'F53A'+01594'-00064'+00791'+07821'+07642'+00140'+00251'+01519'+01650'+16963'+02118'+00243'+00243'+00243'
 8: 5:18,625'F53A'+01596'-00064'+00791'+07819'+07644'+00140'+00251'+01519'+01645'+11566'+02118'+00239'+00239'+00239'
 8: 5:18,911'F53A'+01597'-00064'+00791'+07819'+07642'+00139'+00251'+01519'+01642'-23900'+02117'+00228'+00228'+00228'
 8: 5:19,196'F53A'+01598'-00064'+00791'+07819'+07644'+00139'+00251'+01519'+01640'+06169'+02117'+00221'+00221'+00221'
 8: 5:19,467'F53A'+01600'-00064'+00788'+07819'+07642'+00138'+00251'+01519'+01635'+00772'+02117'+00211'+00211'+00211'
 8: 5:19,722'F53A'+01601'-00064'+00788'+07817'+07644'+00138'+00251'+01519'+01632'+30841'+02117'+00206'+00206'+00206'
 8: 5:19,977'F53A'+01602'-00064'+00788'+07817'+07642'+00138'+00251'+01519'+01629'-04625'+02117'+00198'+00198'+00198'
 8: 5:20,263'F53A'+01603'-00064'+00788'+07817'+07642'+00137'+00251'+01519'+01627'+25444'+02116'+00189'+00195'+00195'
 8: 5:20,533'F53A'+01604'-00064'+00789'+07817'+07642'+00137'+00251'+01519'+01624'-10022'+02116'+00187'+00187'+00187'
 8: 5:20,819'F53A'+01605'-00064'+00791'+07817'+07644'+00136'+00251'+01519'+01622'+20047'+02116'+00181'+00181'+00181'
 8: 5:21,104'F53A'+01606'-00064'+00790'+07817'+07644'+00136'+00251'+01519'+01619'-15420'+02116'+00173'+00173'+00173'
 8: 5:21,374'F53A'+01607'-00064'+00790'+07817'+07642'+00135'+00251'+01519'+01617'+14650'+02115'+00167'+00167'+00167'
 8: 5:21,630'F53A'+01608'-00064'+00791'+07817'+07642'+00135'+00251'+01519'+01614'-20816'+02115'+00162'+00162'+00162'
 8: 5:21,915'F53A'+01609'-00064'+00791'+07817'+07642'+00135'+00251'+01519'+01612'+09253'+02115'+00156'+00156'+00156'
 8: 5:22,185'F53A'+01610'-00064'+00791'+07817'+07642'+00135'+00251'+01519'+01609'-26213'+02115'+00154'+00154'+00154'
 8: 5:22,456'F53A'+01611'-00064'+00791'+07817'+07642'+00134'+00251'+01519'+01607'+03856'+02115'+00145'+00145'+00145'
 8: 5:22,696'F53A'+01612'-00064'+00791'+07817'+07642'+00134'+00251'+01519'+01604'-31610'+02115'+00141'+00141'+00141'
 8: 5:22,952'F53A'+01613'-00064'+00790'+07819'+07642'+00134'+00251'+01519'+01601'-01541'+02115'+00139'+00139'+00139'
 8: 5:23,252'F53A'+01614'-00063'+00788'+07817'+07644'+00134'+00251'+01519'+01406'-08480'+02115'+00134'+00134'+00134'
 8: 5:23,522'F53A'+01615'-00063'+00788'+07817'+07642'+00133'+00251'+01519'+01401'-13876'+02114'+00128'+00128'+00128'
 8: 5:23,793'F53A'+01615'-00063'+00788'+07817'+07644'+00133'+00251'+01519'+01401'-13876'+02114'+00123'+00123'+00123'
 8: 5:24, 33'F53A'+01616'-00063'+00788'+07817'+07644'+00133'+00251'+01519'+01396'-19274'+02114'+00117'+00117'+00117'
 8: 5:24,304'F53A'+01617'-00063'+00788'+07817'+07642'+00133'+00251'+01519'+01391'-24670'+02114'+00115'+00115'+00115'
 8: 5:24,529'F53A'+01617'-00064'+00788'+07817'+07642'+00132'+00251'+01519'+01391'-24670'+02114'+00111'+00111'+00111'
 8: 5:24,784'F53A'+01618'-00064'+00788'+07819'+07642'+00132'+00251'+01519'+01386'-30066'+02114'+00106'+00106'+00106'
 8: 5:25, 40'F53A'+01619'-00064'+00788'+07817'+07642'+00132'+00251'+01519'+01381'+30070'+02114'+00104'+00104'+00104'
 8: 5:25,325'F53A'+01620'-00064'+00788'+07817'+07644'+00132'+00251'+01519'+01376'+24674'+02114'+00101'+00101'+00101'
 8: 5:25,610'F53A'+01620'-00064'+00790'+07817'+07642'+00132'+00251'+01519'+01376'+24674'+02114'+00095'+00095'+00095'
 8: 5:25,881'F53A'+01621'-00064'+00789'+07817'+07642'+00131'+00251'+01519'+01371'+19276'+02113'+00092'+00092'+00092'
 8: 5:26,151'F53A'+01621'-00063'+00790'+07817'+07642'+00131'+00251'+01519'+01371'+19276'+02113'+00088'+00088'+00088'
 8: 5:26,437'F53A'+01622'-00063'+00788'+07817'+07642'+00131'+00251'+01519'+01366'+13880'+02113'+00084'+00084'+00084'
 8: 5:26,692'F53A'+01623'-00063'+00788'+07819'+07642'+00131'+00251'+01519'+01361'+08484'+02113'+00082'+00082'+00082'
 8: 5:26,962'F53A'+01623'-00063'+00788'+07817'+07642'+00131'+00251'+01519'+01361'+08484'+02113'+00079'+00079'+00079'
 8: 5:27,203'F53A'+01624'-00064'+00788'+07817'+07642'+00131'+00251'+01519'+01356'+03086'+02113'+00075'+00075'+00075'
 8: 5:27,443'F53A'+01624'-00064'+00788'+07817'+07642'+00131'+00251'+01519'+01356'+03086'+02113'+00073'+00073'+00073'
 8: 5:27,728'F53A'+01625'-00064'+00788'+07817'+07642'+00131'+00251'+01519'+01350'-02310'+02113'+00070'+00070'+00070'
 8: 5:28, 14'F53A'+01625'-00064'+00788'+07817'+07642'+00131'+00251'+01519'+01350'-02310'+02113'+00066'+00066'+00066'
 8: 5:28,299'F53A'+01626'-00063'+00788'+07817'+07642'+00131'+00251'+01519'+01345'-07710'+02113'+00063'+00063'+00063'
 8: 5:28,540'F53A'+01626'-00063'+00788'+07817'+07642'+00131'+00251'+01519'+01345'-07710'+02113'+00060'+00060'+00060'
 8: 5:28,795'E530'+01627'-00064'+00788'+07817'+07644'+00130'+00251'+01519'-32768'+00000'+02113'+00058'+00000'+00000'
 8: 5:29, 65'E030'+01627'-00064'+00788'+07819'+07642'+00129'+00251'+01519'-32768'+00000'+02112'-00008'+00000'+00000'
 8: 5:29,306'E030'+01627'-00063'+00788'+07817'+07642'+00125'+00251'+01519'-32768'+00000'+01917'-00008'+00000'+00000'
 8: 5:29,591'E030'+01626'-00061'+00786'+07817'+07642'+00064'+00253'+01518'-32768'+00000'+01856'-00008'+00000'+00000'
 8: 5:29,862'E020'+01624'-00055'+00781'+07817'+07644'+00003'+00214'+01517'-32768'+00000'+00608'-00008'+00000'+00000'
 8: 5:30,132'E020'+01623'-00042'+00771'+07817'+07642'+00000'+00014'+01518'-32768'+00000'-32768'-00008'+00000'+00000'
 8: 5:30,402'E020'+01623'-00036'+00761'+07819'+07642'+00000'+00004'+01518'-32768'+00000'-32768'-00008'+00000'+00000'
 8: 5:30,643'E020'+01623'-00036'+00756'+07817'+07642'+00000'+00002'+01518'-32768'+00000'-32768'-00008'+00000'+00000'
 8: 5:30,913'E020'+01623'-00035'+00754'+07817'+07642'+00000'+00002'+01518'-32768'+00000'-32768'-00008'+00000'+00000'
 8: 5:31,153'E020'+01623'-00036'+00751'+07817'+07642'+00000'+00001'+01517'-32768'+00000'-32768'-00008'+00000'+00000'
 8: 5:31,424'F0B0'+01623'-00035'+00749'+07817'+07642'+00000'+00001'+01517'-32768'+00000'-32768'-00008'+00100'+00100'
 8: 5:31,709'F5B0'+01623'-00031'+00749'+07817'+07642'+00000'+00001'+01517'-32768'+00000'-32768'-00008'+00100'+00100'
 8: 5:31,950'F5B0'+01622'-00005'+00753'+07817'+07644'+00000'+00001'+01517'-32768'+00000'-32768'-00008'+00100'+00100'
 8: 5:32,235'F5B0'+01622'+00059'+00768'+07819'+07642'+00000'+00003'+01517'-32768'+00000'-32768'-00008'+00100'+00100'
 8: 5:32,505'F5B0'+01622'+00123'+00790'+07817'+07642'+00000'+00003'+01517'-32768'+00000'-32768'-00008'+00100'+00100'
 8: 5:32,761'F5B0'+01622'+00191'+00816'+07817'+07644'+00000'+00003'+01517'-32768'+00000'-32768'-00008'+00100'+00100'
 8: 5:33,  1'F5B0'+01622'+00250'+00848'+07817'+07642'+00000'+00002'+01517'-32768'+00000'-32768'-00008'+00100'+00100'
 8: 5:33,271'F5B0'+01622'+00307'+00879'+07817'+07642'+00000'+00002'+01517'-32768'+00000'-32768'-00008'+00100'+00100'
 8: 5:33,557'E590'+01622'+00372'+00919'+07817'+07642'+00000'+00002'+01517'-32768'+00000'-32768'-00008'+00000'+00200'
 8: 5:33,812'E490'+01623'+00433'+00956'+07817'+07644'+00000'+00004'+01276'-32768'+00000'-32768'-00008'+00000'+00200'
 8: 5:34, 98'E490'+01623'+00475'+00991'+07819'+07642'+00000'+00023'+00986'-32768'+00000'-32768'-00008'+00000'+00200'
 8: 5:34,398'E490'+01623'+00576'+01032'+07817'+07642'+00000'+00041'+00695'-32768'+00000'-32768'-00008'+00000'+00200'
 8: 5:34,683'E481'+01617'+00753'+01097'+07817'+07644'+00000'+00034'+00492'-32768'+00000'-32768'-00008'+01020'+00200'
 8: 5:34,939'E585'+01602'+00940'+01188'+07817'+07642'+00000'+00027'+00493'-32768'+00000'-32768'-00008'+01020'+00200'
 8: 5:35,209'E585'+01582'+01094'+01287'+07817'+07642'+00000'+00027'+00491'-32768'+00000'-32768'-00008'+01020'+00200'
 8: 5:35,495'E585'+01526'+01243'+01395'+07819'+07642'+00000'+00028'+00491'-32768'+00000'-32768'-00008'+01020'+00200'
 8: 5:35,735'E585'+01478'+01381'+01505'+07819'+07642'+00000'+00029'+00491'-32768'+00000'-32768'-00008'+01020'+00200'
 8: 5:36,  5'E585'+01427'+01522'+01617'+07819'+07642'+00000'+00028'+00491'-32768'+00000'-32768'-00008'+01020'+00200'
 8: 5:36,261'E585'+01377'+01669'+01743'+07819'+07642'+00000'+00028'+00491'-32768'+00000'-32768'-00008'+01020'+00200'
 8: 5:36,501'E505'+01325'+01791'+01869'+07821'+07644'+00000'+00028'+00491'-32768'+00000'-32768'-00008'+01020'+00000'
 8: 5:36,756'E105'+01275'+01804'+01965'+07819'+07642'+00000'+00010'+00491'-32768'+00000'-32768'-00008'+01020'+00850'
