Адрес'A0.0'A0.1'A0.2'A0.3'A0.4'A0.5'A0.6'A0.7'A1.0'A1.1'A1.2'A1.3'A1.4'A1.5'A1.6'A1.7'DB10'DB10'DB10'DB10'DB10'DB10'DB10'DB10'DB10'DB10'DB10'DB10'DB10'DB10'
Имя'Z2'Z2R'Z1'Z1R'J'Z5'V1'V2'E1'E2'E3'M'F'D'H1'H2' DW10' DW11' DW12' DW13' DW14' DW15' DW16' DW17' DW90' DW91' DW92' DW163' DW165' DW166'
Комментарий'nasos 2 na linii 250 bar'nasos 2 na linii 200 bar'nasos 1 na linii 250 bar'nasos 1 na linii 200 bar'soedinenie nasosa 1 - nasosa 2'wspomogatelxnyj nasos 5 na linii'akkumulqtornaq batareq 1 na linii'akkumulqtornaq batareq 2 na linii'nazad puanson'snqtie prodwiveniq puansona'wkl.akkumulqtorow dlq prodwiv.puansona'wpered puanson - pressowanie'dekompressiq 0'zakrytx napolnitelxnyj klapan'zakrytx kontejner'otkrytx kontejner' poziciya pusnsona' poziciya kontejnera' poziciya nozha' poziciya zagr 1' poziciya zagr 2' davlenie gc' davlenie prizhima kontejnera' poziciya nk' rashod RSV7' rashod RSV5' rashod RSV6' vyhodnaya skorost petli os' rashod nasosa 2' rashod nasosa 1'
 8: 4:58,  1'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01487'-00065'+00792'+07817'+07644'+00155'+00251'+01519'+01872'+00000'+02125'+00280'+00280'+00280'
 8: 4:58,241'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01488'-00065'+00791'+07817'+07642'+00155'+00252'+01519'+01872'+00000'+02125'+00280'+00280'+00280'
 8: 4:58,511'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01489'-00065'+00791'+07817'+07642'+00155'+00252'+01519'+01872'+00000'+02125'+00280'+00280'+00280'
 8: 4:58,767'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01491'-00065'+00791'+07817'+07644'+00155'+00252'+01519'+01872'+00000'+02125'+00280'+00280'+00280'
 8: 4:59, 37'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01492'-00065'+00791'+07817'+07642'+00155'+00252'+01519'+01872'+00000'+02125'+00280'+00280'+00280'
 8: 4:59,293'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01493'-00065'+00791'+07817'+07642'+00154'+00252'+01519'+01872'+00000'+02125'+00280'+00280'+00280'
 8: 4:59,563'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01495'-00065'+00791'+07817'+07642'+00154'+00252'+01519'+01872'+00000'+02125'+00280'+00280'+00280'
 8: 4:59,818'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01496'-00065'+00791'+07817'+07642'+00154'+00252'+01519'+01872'+00000'+02125'+00280'+00280'+00280'
 8: 5: 0, 59'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01498'-00065'+00791'+07817'+07644'+00154'+00252'+01519'+01872'+00000'+02125'+00280'+00280'+00280'
 8: 5: 0,344'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01499'-00065'+00791'+07817'+07642'+00154'+00251'+01519'+01872'+00000'+02125'+00280'+00280'+00280'
 8: 5: 0,614'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01501'-00065'+00791'+07815'+07642'+00153'+00251'+01519'+01872'+00000'+02124'+00280'+00280'+00280'
 8: 5: 0,900'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01502'-00065'+00791'+07817'+07644'+00153'+00252'+01519'+01872'+00000'+02124'+00280'+00280'+00280'
 8: 5: 1,155'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01503'-00065'+00791'+07817'+07644'+00153'+00251'+01519'+01872'+00000'+02124'+00280'+00280'+00280'
 8: 5: 1,411'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01505'-00065'+00791'+07817'+07644'+00153'+00251'+01519'+01872'+00000'+02124'+00280'+00280'+00280'
 8: 5: 1,666'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01506'-00065'+00788'+07817'+07642'+00153'+00251'+01519'+01872'+00000'+02124'+00280'+00280'+00280'
 8: 5: 1,906'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01507'-00065'+00791'+07817'+07644'+00152'+00251'+01519'+01872'+00000'+02124'+00279'+00279'+00279'
 8: 5: 2,162'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01509'-00065'+00791'+07817'+07642'+00152'+00252'+01519'+01872'+00000'+02124'+00279'+00279'+00279'
 8: 5: 2,432'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01510'-00065'+00791'+07817'+07642'+00152'+00251'+01519'+01872'+00000'+02124'+00279'+00279'+00279'
 8: 5: 2,687'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01511'-00065'+00791'+07816'+07642'+00152'+00252'+01519'+01872'+00000'+02124'+00279'+00279'+00279'
 8: 5: 2,958'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01513'-00065'+00791'+07817'+07644'+00152'+00251'+01519'+01872'+00000'+02124'+00279'+00279'+00279'
